Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.3117e+04
1.5000e-03	0.0000e+00	3.3124e+04
2.0000e-03	0.0000e+00	3.3129e+04
2.5000e-03	0.0000e+00	3.3133e+04
3.0000e-03	0.0000e+00	3.3136e+04
3.5000e-03	0.0000e+00	3.3139e+04
4.0000e-03	0.0000e+00	3.3141e+04
4.5000e-03	0.0000e+00	3.3143e+04
5.0000e-03	0.0000e+00	3.3145e+04
5.5000e-03	0.0000e+00	3.3147e+04
6.0000e-03	0.0000e+00	3.3148e+04
6.5000e-03	0.0000e+00	3.3150e+04
7.0000e-03	0.0000e+00	3.3151e+04
7.5000e-03	0.0000e+00	3.3152e+04
8.0000e-03	0.0000e+00	3.3154e+04
8.5000e-03	0.0000e+00	3.3155e+04
9.0000e-03	0.0000e+00	3.3156e+04
9.5000e-03	0.0000e+00	3.3157e+04
1.0000e-02	0.0000e+00	3.3158e+04
1.5000e-02	0.0000e+00	3.3165e+04
2.0000e-02	0.0000e+00	3.3170e+04
2.5000e-02	0.0000e+00	3.3174e+04
3.0000e-02	0.0000e+00	3.3177e+04
3.5000e-02	0.0000e+00	3.3181e+04
4.0000e-02	0.0000e+00	3.3193e+04
4.5000e-02	0.0000e+00	3.3203e+04
5.0000e-02	1.2392e+11	3.3212e+04
5.1684e-02	1.1886e+11	3.3215e+04
5.3424e-02	1.1400e+11	3.3218e+04
5.5224e-02	1.0931e+11	3.3221e+04
5.7083e-02	1.0482e+11	3.3224e+04
5.9006e-02	1.0044e+11	3.3227e+04
6.0993e-02	9.6317e+10	3.3230e+04
6.3047e-02	9.2298e+10	3.3233e+04
6.5170e-02	8.8489e+10	3.3236e+04
6.7365e-02	8.4830e+10	3.3239e+04
6.9633e-02	8.1317e+10	3.3241e+04
7.1978e-02	7.7937e+10	3.3244e+04
7.4402e-02	7.4723e+10	3.3247e+04
7.6908e-02	7.1614e+10	3.3250e+04
7.9498e-02	6.8640e+10	3.3253e+04
8.2175e-02	6.5795e+10	3.3256e+04
8.4943e-02	6.3103e+10	3.3259e+04
8.7803e-02	6.0491e+10	3.3262e+04
9.0760e-02	5.8001e+10	3.3266e+04
9.3817e-02	5.5603e+10	3.3272e+04
9.6976e-02	5.3322e+10	3.3278e+04
1.0024e-01	5.1140e+10	3.3283e+04
1.0362e-01	4.9019e+10	3.3289e+04
1.0711e-01	4.7000e+10	3.3295e+04
1.1071e-01	4.5057e+10	3.3301e+04
1.1444e-01	4.3187e+10	3.3307e+04
1.1830e-01	4.1404e+10	3.3312e+04
1.2228e-01	3.9696e+10	3.3318e+04
1.2640e-01	3.8050e+10	3.3324e+04
1.3066e-01	3.6459e+10	3.3330e+04
1.3506e-01	3.4956e+10	3.3336e+04
1.3960e-01	3.3521e+10	3.3342e+04
1.4430e-01	3.2135e+10	3.3347e+04
1.4916e-01	3.0806e+10	3.3356e+04
1.5419e-01	2.9535e+10	3.3364e+04
1.5938e-01	2.8309e+10	3.3373e+04
1.6475e-01	2.7130e+10	3.3382e+04
1.7030e-01	2.6000e+10	3.3390e+04
1.7603e-01	2.4931e+10	3.3399e+04
1.8196e-01	2.3898e+10	3.3408e+04
1.8809e-01	2.2907e+10	3.3416e+04
1.9442e-01	2.1966e+10	3.3425e+04
2.0097e-01	2.1057e+10	3.3434e+04
2.0774e-01	2.0194e+10	3.3445e+04
2.1473e-01	1.9362e+10	3.3457e+04
2.2196e-01	1.8559e+10	3.3468e+04
2.2944e-01	1.7793e+10	3.3480e+04
2.3717e-01	1.7056e+10	3.3491e+04
2.4515e-01	1.6348e+10	3.3503e+04
2.5341e-01	1.5663e+10	3.3514e+04
2.6194e-01	1.5012e+10	3.3528e+04
2.7076e-01	1.4388e+10	3.3542e+04
2.7988e-01	1.3787e+10	3.3556e+04
