Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.0547e+04
1.5000e-03	0.0000e+00	1.0549e+04
2.0000e-03	0.0000e+00	1.0551e+04
2.5000e-03	0.0000e+00	1.0552e+04
3.0000e-03	0.0000e+00	1.0553e+04
3.5000e-03	0.0000e+00	1.0554e+04
4.0000e-03	0.0000e+00	1.0555e+04
4.5000e-03	0.0000e+00	1.0555e+04
5.0000e-03	0.0000e+00	1.0556e+04
5.5000e-03	0.0000e+00	1.0557e+04
6.0000e-03	0.0000e+00	1.0557e+04
6.5000e-03	0.0000e+00	1.0558e+04
7.0000e-03	0.0000e+00	1.0558e+04
7.5000e-03	0.0000e+00	1.0558e+04
8.0000e-03	0.0000e+00	1.0559e+04
8.5000e-03	0.0000e+00	1.0559e+04
9.0000e-03	0.0000e+00	1.0559e+04
9.5000e-03	0.0000e+00	1.0560e+04
1.0000e-02	0.0000e+00	1.0560e+04
1.5000e-02	0.0000e+00	1.0562e+04
2.0000e-02	0.0000e+00	1.0564e+04
2.5000e-02	0.0000e+00	1.0565e+04
3.0000e-02	0.0000e+00	1.0566e+04
3.5000e-02	0.0000e+00	1.0567e+04
4.0000e-02	0.0000e+00	1.0569e+04
4.5000e-02	0.0000e+00	1.0573e+04
5.0000e-02	3.9444e+10	1.0576e+04
5.1684e-02	3.7835e+10	1.0577e+04
5.3424e-02	3.6288e+10	1.0578e+04
5.5224e-02	3.4794e+10	1.0579e+04
5.7083e-02	3.3364e+10	1.0580e+04
5.9006e-02	3.1970e+10	1.0581e+04
6.0993e-02	3.0659e+10	1.0582e+04
6.3047e-02	2.9379e+10	1.0583e+04
6.5170e-02	2.8167e+10	1.0584e+04
6.7365e-02	2.7002e+10	1.0585e+04
6.9633e-02	2.5884e+10	1.0586e+04
7.1978e-02	2.4808e+10	1.0587e+04
7.4402e-02	2.3785e+10	1.0588e+04
7.6908e-02	2.2796e+10	1.0589e+04
7.9498e-02	2.1849e+10	1.0590e+04
8.2175e-02	2.0943e+10	1.0591e+04
8.4943e-02	2.0086e+10	1.0592e+04
8.7803e-02	1.9255e+10	1.0593e+04
9.0760e-02	1.8462e+10	1.0594e+04
9.3817e-02	1.7699e+10	1.0595e+04
9.6976e-02	1.6973e+10	1.0597e+04
1.0024e-01	1.6278e+10	1.0599e+04
1.0362e-01	1.5603e+10	1.0601e+04
1.0711e-01	1.4961e+10	1.0603e+04
1.1071e-01	1.4342e+10	1.0605e+04
1.1444e-01	1.3747e+10	1.0606e+04
