# Energy(MeV) Phi16 Phi84
5.000000e-02 1.145167e+11 1.345946e+11
5.168383e-02 1.099167e+11 1.289603e+11
5.342437e-02 1.054442e+11 1.234911e+11
5.522353e-02 1.012285e+11 1.182416e+11
5.708327e-02 9.719464e+10 1.132423e+11
5.900565e-02 9.329630e+10 1.084608e+11
6.099276e-02 8.955900e+10 1.039172e+11
6.304680e-02 8.594391e+10 9.944824e+10
6.517000e-02 8.248965e+10 9.531375e+10
6.736471e-02 7.917147e+10 9.122068e+10
6.963333e-02 7.597275e+10 8.735142e+10
7.197835e-02 7.290708e+10 8.364689e+10
7.440234e-02 6.995897e+10 8.011115e+10
7.690796e-02 6.712613e+10 7.673222e+10
7.949797e-02 6.441535e+10 7.347555e+10
8.217519e-02 6.182770e+10 7.034341e+10
8.494258e-02 5.932799e+10 6.737120e+10
8.780317e-02 5.696912e+10 6.456104e+10
9.076008e-02 5.465953e+10 6.183493e+10
9.381658e-02 5.245673e+10 5.922506e+10
9.697601e-02 5.034931e+10 5.674420e+10
1.002418e-01 4.831499e+10 5.434950e+10
1.036177e-01 4.633336e+10 5.204856e+10
1.071072e-01 4.447599e+10 4.986131e+10
1.107142e-01 4.267893e+10 4.776897e+10
1.144426e-01 4.093198e+10 4.578715e+10
1.182967e-01 3.926672e+10 4.387799e+10
1.222805e-01 3.765822e+10 4.202374e+10
1.263985e-01 3.612686e+10 4.024533e+10
1.306552e-01 3.465137e+10 3.853857e+10
1.350553e-01 3.325566e+10 3.692149e+10
1.396035e-01 3.190828e+10 3.540740e+10
1.443048e-01 3.061347e+10 3.391348e+10
1.491646e-01 2.937023e+10 3.246816e+10
1.541879e-01 2.817949e+10 3.110741e+10
1.593805e-01 2.704005e+10 2.978507e+10
1.647479e-01 2.594008e+10 2.854055e+10
1.702960e-01 2.486497e+10 2.732247e+10
1.760310e-01 2.386021e+10 2.617173e+10
1.819592e-01 2.287657e+10 2.508474e+10
1.880869e-01 2.194295e+10 2.403899e+10
1.944211e-01 2.102703e+10 2.302586e+10
2.009685e-01 2.016311e+10 2.206693e+10
2.077365e-01 1.934056e+10 2.113409e+10
2.147324e-01 1.854799e+10 2.024483e+10
2.219638e-01 1.778518e+10 1.939712e+10
2.294388e-01 1.704557e+10 1.858023e+10
2.371656e-01 1.634784e+10 1.779049e+10
2.451525e-01 1.567768e+10 1.705259e+10
2.534084e-01 1.503383e+10 1.633526e+10
2.619424e-01 1.441102e+10 1.565289e+10
2.707637e-01 1.380977e+10 1.499688e+10
2.798822e-01 1.324440e+10 1.437025e+10
2.893077e-01 1.269416e+10 1.376300e+10
2.990506e-01 1.216952e+10 1.318241e+10
3.091216e-01 1.166789e+10 1.262805e+10
3.195318e-01 1.118495e+10 1.209719e+10
3.302926e-01 1.072044e+10 1.158543e+10
3.414157e-01 1.027975e+10 1.109819e+10
3.529135e-01 9.851521e+09 1.063176e+10
3.647984e-01 9.438705e+09 1.018670e+10
3.770836e-01 9.050007e+09 9.756492e+09
3.897825e-01 8.674585e+09 9.347161e+09
4.029091e-01 8.312133e+09 8.952429e+09
4.164778e-01 7.959364e+09 8.571147e+09
4.305033e-01 7.626046e+09 8.206420e+09
4.450013e-01 7.308123e+09 7.861620e+09
4.599874e-01 7.004242e+09 7.531444e+09
4.754783e-01 6.709776e+09 7.210903e+09
4.914908e-01 6.427311e+09 6.906647e+09
5.080426e-01 6.153416e+09 6.621725e+09
5.251518e-01 5.895090e+09 6.346018e+09
5.428371e-01 5.647017e+09 6.076432e+09
5.611181e-01 5.410092e+09 5.819956e+09
5.800147e-01 5.182828e+09 5.577382e+09
5.995476e-01 4.963997e+09 5.344939e+09
6.197384e-01 4.755078e+09 5.119597e+09
6.406091e-01 4.554865e+09 4.904074e+09
6.621827e-01 4.360500e+09 4.695119e+09
6.844828e-01 4.174632e+09 4.495692e+09
7.075339e-01 3.994766e+09 4.306709e+09
7.313613e-01 3.824192e+09 4.124438e+09
7.559911e-01 3.660721e+09 3.949141e+09
7.814504e-01 3.503001e+09 3.783445e+09
8.077670e-01 3.351020e+09 3.622785e+09
8.349699e-01 3.207226e+09 3.468974e+09
8.630889e-01 3.068998e+09 3.321651e+09
8.921549e-01 2.937326e+09 3.181002e+09
9.221997e-01 2.810082e+09 3.045175e+09
9.532563e-01 2.689062e+09 2.915105e+09
9.853588e-01 2.572302e+09 2.790248e+09
1.018542e+00 2.460840e+09 2.670583e+09
1.052844e+00 2.353816e+09 2.557383e+09
1.088300e+00 2.250655e+09 2.447196e+09
1.124950e+00 2.151916e+09 2.342248e+09
1.162835e+00 2.057574e+09 2.241898e+09
1.201995e+00 1.967078e+09 2.145386e+09
1.242474e+00 1.880257e+09 2.054132e+09
1.284317e+00 1.798104e+09 1.965645e+09
1.327568e+00 1.718876e+09 1.880117e+09
1.372276e+00 1.643261e+09 1.798728e+09
1.418490e+00 1.571374e+09 1.720555e+09
1.466260e+00 1.501695e+09 1.646167e+09
1.515639e+00 1.435137e+09 1.574833e+09
1.566680e+00 1.372137e+09 1.506697e+09
1.619441e+00 1.311504e+09 1.439947e+09
1.673978e+00 1.253437e+09 1.376550e+09
1.730352e+00 1.197194e+09 1.316088e+09
1.788625e+00 1.143554e+09 1.258191e+09
1.848860e+00 1.092076e+09 1.202576e+09
1.911123e+00 1.042833e+09 1.149353e+09
1.975484e+00 9.957693e+08 1.097754e+09
2.042011e+00 9.505509e+08 1.048547e+09
2.110780e+00 9.069791e+08 1.001392e+09
2.181864e+00 8.657181e+08 9.560172e+08
2.255341e+00 8.261566e+08 9.129669e+08
2.331294e+00 7.884377e+08 8.715180e+08
2.409804e+00 7.525733e+08 8.319668e+08
2.490958e+00 7.179102e+08 7.941858e+08
2.574845e+00 6.843319e+08 7.576247e+08
2.661558e+00 6.527698e+08 7.227441e+08
2.751190e+00 6.223194e+08 6.893504e+08
2.843841e+00 5.931810e+08 6.573572e+08
2.939612e+00 5.654940e+08 6.266076e+08
3.038609e+00 5.390877e+08 5.970053e+08
3.140939e+00 5.141177e+08 5.689539e+08
3.246715e+00 4.896320e+08 5.422846e+08
3.356054e+00 4.662166e+08 5.165532e+08
3.469074e+00 4.437282e+08 4.919358e+08
3.585901e+00 4.223216e+08 4.681760e+08
3.706663e+00 4.020642e+08 4.455517e+08
3.831491e+00 3.825941e+08 4.240354e+08
3.960522e+00 3.641570e+08 4.034548e+08
4.093900e+00 3.462509e+08 3.839075e+08
4.231769e+00 3.291766e+08 3.653913e+08
4.374280e+00 3.128895e+08 3.472277e+08
4.521592e+00 2.974420e+08 3.298024e+08
4.673864e+00 2.826496e+08 3.133429e+08
4.831264e+00 2.683394e+08 2.978162e+08
4.993965e+00 2.547423e+08 2.829005e+08
5.162145e+00 2.417398e+08 2.684605e+08
5.335989e+00 2.294505e+08 2.547355e+08
5.515687e+00 2.177866e+08 2.416810e+08
5.701437e+00 2.065659e+08 2.291001e+08
5.893443e+00 1.957505e+08 2.171517e+08
6.091914e+00 1.854312e+08 2.057010e+08
6.297070e+00 1.757656e+08 1.948314e+08
6.509134e+00 1.663521e+08 1.843905e+08
6.728340e+00 1.575376e+08 1.744204e+08
6.954928e+00 1.491150e+08 1.650393e+08
7.189147e+00 1.408817e+08 1.561105e+08
7.431253e+00 1.332204e+08 1.474842e+08
7.681513e+00 1.259018e+08 1.392902e+08
7.940201e+00 1.187170e+08 1.314780e+08
8.207601e+00 1.119382e+08 1.240392e+08
