# Energy(MeV) Fluence
5.000000e-02 1.239168e+11
5.168383e-02 1.188614e+11
5.342437e-02 1.140012e+11
5.522353e-02 1.093101e+11
5.708327e-02 1.048151e+11
5.900565e-02 1.004383e+11
6.099276e-02 9.631738e+10
6.304680e-02 9.229781e+10
6.517000e-02 8.848949e+10
6.736471e-02 8.483038e+10
6.963333e-02 8.131668e+10
7.197835e-02 7.793740e+10
7.440234e-02 7.472300e+10
7.690796e-02 7.161420e+10
7.949797e-02 6.864021e+10
8.217519e-02 6.579490e+10
8.494258e-02 6.310260e+10
8.780317e-02 6.049135e+10
9.076008e-02 5.800066e+10
9.381658e-02 5.560263e+10
9.697601e-02 5.332204e+10
1.002418e-01 5.113974e+10
1.036177e-01 4.901912e+10
1.071072e-01 4.700022e+10
1.107142e-01 4.505661e+10
1.144426e-01 4.318678e+10
1.182967e-01 4.140396e+10
1.222805e-01 3.969615e+10
1.263985e-01 3.805041e+10
1.306552e-01 3.645932e+10
1.350553e-01 3.495650e+10
1.396035e-01 3.352087e+10
1.443048e-01 3.213481e+10
1.491646e-01 3.080612e+10
1.541879e-01 2.953470e+10
1.593805e-01 2.830874e+10
1.647479e-01 2.713015e+10
1.702960e-01 2.599958e+10
1.760310e-01 2.493148e+10
1.819592e-01 2.389757e+10
1.880869e-01 2.290737e+10
1.944211e-01 2.196650e+10
2.009685e-01 2.105713e+10
2.077365e-01 2.019445e+10
2.147324e-01 1.936171e+10
2.219638e-01 1.855940e+10
2.294388e-01 1.779270e+10
2.371656e-01 1.705608e+10
2.451525e-01 1.634836e+10
2.534084e-01 1.566255e+10
2.619424e-01 1.501221e+10
2.707637e-01 1.438815e+10
2.798822e-01 1.378716e+10
2.893077e-01 1.321038e+10
2.990506e-01 1.266232e+10
3.091216e-01 1.212892e+10
3.195318e-01 1.162253e+10
3.302926e-01 1.113916e+10
3.414157e-01 1.067220e+10
3.529135e-01 1.022477e+10
3.647984e-01 9.798578e+09
3.770836e-01 9.388054e+09
3.897825e-01 8.992700e+09
4.029091e-01 8.611608e+09
4.164778e-01 8.254365e+09
4.305033e-01 7.906423e+09
4.450013e-01 7.575357e+09
4.599874e-01 7.256937e+09
4.754783e-01 6.953574e+09
4.914908e-01 6.662524e+09
5.080426e-01 6.382819e+09
5.251518e-01 6.116880e+09
5.428371e-01 5.859365e+09
5.611181e-01 5.612904e+09
5.800147e-01 5.378797e+09
5.995476e-01 5.150672e+09
6.197384e-01 4.933482e+09
6.406091e-01 4.723789e+09
6.621827e-01 4.522826e+09
6.844828e-01 4.330769e+09
7.075339e-01 4.146666e+09
7.313613e-01 3.970371e+09
7.559911e-01 3.800446e+09
7.814504e-01 3.638830e+09
8.077670e-01 3.483202e+09
8.349699e-01 3.334255e+09
8.630889e-01 3.192753e+09
8.921549e-01 3.055557e+09
9.221997e-01 2.924994e+09
9.532563e-01 2.799115e+09
9.853588e-01 2.679272e+09
1.018542e+00 2.563934e+09
1.052844e+00 2.453063e+09
1.088300e+00 2.347200e+09
1.124950e+00 2.246017e+09
1.162835e+00 2.148282e+09
1.201995e+00 2.055727e+09
1.242474e+00 1.966350e+09
1.284317e+00 1.880066e+09
1.327568e+00 1.797827e+09
1.372276e+00 1.719602e+09
1.418490e+00 1.644778e+09
1.466260e+00 1.572376e+09
1.515639e+00 1.502825e+09
1.566680e+00 1.436706e+09
1.619441e+00 1.373729e+09
1.673978e+00 1.312848e+09
1.730352e+00 1.254656e+09
1.788625e+00 1.198977e+09
1.848860e+00 1.145838e+09
1.911123e+00 1.094898e+09
1.975484e+00 1.045853e+09
2.042011e+00 9.993523e+08
2.110780e+00 9.542999e+08
2.181864e+00 9.112410e+08
2.255341e+00 8.704499e+08
2.331294e+00 8.310463e+08
2.409804e+00 7.929254e+08
2.490958e+00 7.564505e+08
2.574845e+00 7.216818e+08
2.661558e+00 6.884446e+08
2.751190e+00 6.567326e+08
2.843841e+00 6.261579e+08
2.939612e+00 5.971262e+08
3.038609e+00 5.693987e+08
3.140939e+00 5.426301e+08
3.246715e+00 5.169824e+08
3.356054e+00 4.926705e+08
3.469074e+00 4.693102e+08
3.585901e+00 4.470102e+08
3.706663e+00 4.256025e+08
3.831491e+00 4.050454e+08
3.960522e+00 3.853169e+08
4.093900e+00 3.665364e+08
4.231769e+00 3.485029e+08
4.374280e+00 3.314287e+08
4.521592e+00 3.150085e+08
4.673864e+00 2.991969e+08
4.831264e+00 2.841537e+08
4.993965e+00 2.699021e+08
5.162145e+00 2.562902e+08
5.335989e+00 2.430865e+08
5.515687e+00 2.306110e+08
5.701437e+00 2.186750e+08
5.893443e+00 2.071833e+08
6.091914e+00 1.961934e+08
6.297070e+00 1.858401e+08
6.509134e+00 1.758963e+08
6.728340e+00 1.664119e+08
6.954928e+00 1.573767e+08
7.189147e+00 1.487633e+08
7.431253e+00 1.406308e+08
7.681513e+00 1.328391e+08
7.940201e+00 1.254102e+08
8.207601e+00 1.183076e+08
8.484005e+00 1.114831e+08
8.769719e+00 1.050368e+08
9.065053e+00 9.894007e+07
9.370334e+00 9.317928e+07
9.685896e+00 8.767004e+07
1.001208e+01 8.245519e+07
1.034926e+01 7.747512e+07
1.069779e+01 7.277391e+07
1.105805e+01 6.829830e+07
1.143045e+01 6.401589e+07
1.181539e+01 5.994765e+07
1.221329e+01 5.613944e+07
1.262460e+01 5.256506e+07
1.304975e+01 4.915663e+07
1.348922e+01 4.591415e+07
1.394350e+01 4.281633e+07
1.441307e+01 3.991006e+07
1.489845e+01 3.718962e+07
1.540018e+01 3.461002e+07
1.591881e+01 3.219418e+07
1.645490e+01 2.989617e+07
1.700905e+01 2.775977e+07
1.758185e+01 2.572637e+07
1.817395e+01 2.382030e+07
1.878599e+01 2.203106e+07
1.941864e+01 2.038625e+07
2.007260e+01 1.881123e+07
2.074857e+01 1.731600e+07
2.144732e+01 1.593526e+07
2.216959e+01 1.463068e+07
2.291619e+01 1.343641e+07
2.368793e+01 1.233108e+07
2.448566e+01 1.129109e+07
2.531026e+01 1.034090e+07
2.616262e+01 9.453431e+06
2.704369e+01 8.631652e+06
2.795443e+01 7.875198e+06
2.889585e+01 7.184321e+06
2.986896e+01 6.554831e+06
3.087485e+01 5.983184e+06
3.191461e+01 5.453941e+06
3.298939e+01 4.970468e+06
3.410036e+01 4.528823e+06
3.524875e+01 4.129402e+06
3.643581e+01 3.763308e+06
3.766285e+01 3.429853e+06
3.893121e+01 3.122589e+06
4.024228e+01 2.845918e+06
4.159751e+01 2.590522e+06
4.299837e+01 2.358326e+06
4.444641e+01 2.144072e+06
4.594322e+01 1.951469e+06
4.749044e+01 1.775937e+06
4.908976e+01 1.613462e+06
5.074294e+01 1.466647e+06
5.245179e+01 1.332099e+06
5.421819e+01 1.210358e+06
5.604408e+01 1.099778e+06
5.793146e+01 9.984489e+05
5.988240e+01 9.069311e+05
6.189904e+01 8.225989e+05
6.398359e+01 7.464399e+05
6.613834e+01 6.769144e+05
6.836566e+01 6.137016e+05
7.066799e+01 5.559230e+05
7.304785e+01 5.034892e+05
7.550786e+01 4.559431e+05
7.805072e+01 4.126029e+05
8.067920e+01 3.733212e+05
8.339621e+01 3.375322e+05
8.620472e+01 3.048075e+05
8.910781e+01 2.753420e+05
9.210866e+01 2.483837e+05
9.521057e+01 2.241640e+05
9.841695e+01 2.019817e+05
1.017313e+02 1.821325e+05
1.051573e+02 1.639961e+05
1.086986e+02 1.476985e+05
1.123592e+02 1.329008e+05
1.161431e+02 1.194290e+05
1.200544e+02 1.073167e+05
1.240975e+02 9.637078e+04
1.282767e+02 8.649735e+04
1.325966e+02 7.760074e+04
1.370620e+02 6.951466e+04
1.416778e+02 6.222370e+04
1.464490e+02 5.563525e+04
1.513809e+02 4.971099e+04
1.564789e+02 4.440237e+04
1.617486e+02 3.960662e+04
1.671958e+02 3.530629e+04
1.728264e+02 3.144176e+04
1.786466e+02 2.798148e+04
1.846628e+02 2.487373e+04
1.908817e+02 2.208127e+04
1.973099e+02 1.958722e+04
2.039547e+02 1.735555e+04
2.108232e+02 1.536138e+04
2.179230e+02 1.357888e+04
2.252619e+02 1.198021e+04
2.328480e+02 1.055780e+04
2.406895e+02 9.300173e+03
2.487952e+02 8.175497e+03
2.571738e+02 7.186412e+03
2.658345e+02 6.305544e+03
2.747869e+02 5.527613e+03
2.840408e+02 4.834766e+03
2.936064e+02 4.220383e+03
3.034941e+02 3.673925e+03
3.137148e+02 3.198951e+03
3.242796e+02 2.778792e+03
3.352003e+02 2.409430e+03
3.464887e+02 2.086339e+03
3.581573e+02 1.803312e+03
3.702189e+02 1.558481e+03
3.826866e+02 1.343289e+03
3.955742e+02 1.155177e+03
4.088958e+02 9.914599e+02
4.226661e+02 8.501420e+02
4.369001e+02 7.274902e+02
4.516134e+02 6.208584e+02
4.668222e+02 5.276530e+02
4.825433e+02 4.479237e+02
4.987937e+02 3.793728e+02
5.155914e+02 3.205089e+02
5.329548e+02 2.700496e+02
5.509030e+02 2.268791e+02
5.694556e+02 1.899574e+02
5.886329e+02 1.585653e+02
6.084561e+02 1.322201e+02
6.289469e+02 1.096817e+02
6.501277e+02 9.080839e+01
6.720219e+02 7.491539e+01
6.946533e+02 6.154235e+01
7.180470e+02 5.026844e+01
7.422284e+02 4.087060e+01
7.672242e+02 3.305198e+01
7.930617e+02 2.666472e+01
8.197694e+02 2.140251e+01
8.473765e+02 1.708215e+01
8.759133e+02 1.361609e+01
9.054112e+02 1.080070e+01
9.359024e+02 8.497971e+00
9.674205e+02 6.667042e+00
1.000000e+03 5.208164e+00
