# Energy(MeV) Phi16 Phi84
5.000000e-02 3.645180e+10 4.284278e+10
5.168383e-02 3.498756e+10 4.104935e+10
5.342437e-02 3.356392e+10 3.930843e+10
5.522353e-02 3.222204e+10 3.763748e+10
5.708327e-02 3.093801e+10 3.604614e+10
5.900565e-02 2.969713e+10 3.452414e+10
6.099276e-02 2.850751e+10 3.307789e+10
6.304680e-02 2.735680e+10 3.165536e+10
6.517000e-02 2.625727e+10 3.033931e+10
6.736471e-02 2.520106e+10 2.903644e+10
6.963333e-02 2.418288e+10 2.780482e+10
7.197835e-02 2.320704e+10 2.662563e+10
7.440234e-02 2.226863e+10 2.550017e+10
7.690796e-02 2.136691e+10 2.442462e+10
7.949797e-02 2.050404e+10 2.338799e+10
8.217519e-02 1.968037e+10 2.239100e+10
8.494258e-02 1.888469e+10 2.144492e+10
8.780317e-02 1.813383e+10 2.055042e+10
9.076008e-02 1.739867e+10 1.968267e+10
9.381658e-02 1.669750e+10 1.885192e+10
9.697601e-02 1.602668e+10 1.806224e+10
1.002418e-01 1.537914e+10 1.729998e+10
1.036177e-01 1.474837e+10 1.656757e+10
1.071072e-01 1.415715e+10 1.587135e+10
1.107142e-01 1.358513e+10 1.520534e+10
1.144426e-01 1.302905e+10 1.457450e+10
1.182967e-01 1.249899e+10 1.396680e+10
1.222805e-01 1.198698e+10 1.337657e+10
1.263985e-01 1.149954e+10 1.281049e+10
1.306552e-01 1.102987e+10 1.226721e+10
1.350553e-01 1.058561e+10 1.175248e+10
1.396035e-01 1.015672e+10 1.127053e+10
1.443048e-01 9.744571e+09 1.079500e+10
1.491646e-01 9.348836e+09 1.033494e+10
1.541879e-01 8.969812e+09 9.901797e+09
1.593805e-01 8.607114e+09 9.480883e+09
1.647479e-01 8.256984e+09 9.084739e+09
1.702960e-01 7.914767e+09 8.697013e+09
1.760310e-01 7.594942e+09 8.330720e+09
1.819592e-01 7.281840e+09 7.984721e+09
1.880869e-01 6.984657e+09 7.651849e+09
1.944211e-01 6.693110e+09 7.329360e+09
2.009685e-01 6.418117e+09 7.024121e+09
2.077365e-01 6.156292e+09 6.727190e+09
2.147324e-01 5.904009e+09 6.444129e+09
2.219638e-01 5.661199e+09 6.174294e+09
2.294388e-01 5.425773e+09 5.914271e+09
2.371656e-01 5.203679e+09 5.662888e+09
2.451525e-01 4.990360e+09 5.428006e+09
2.534084e-01 4.785416e+09 5.199675e+09
2.619424e-01 4.587169e+09 4.982471e+09
2.707637e-01 4.395786e+09 4.773656e+09
2.798822e-01 4.215824e+09 4.574193e+09
2.893077e-01 4.040675e+09 4.380900e+09
2.990506e-01 3.873679e+09 4.196092e+09
3.091216e-01 3.714004e+09 4.019634e+09
3.195318e-01 3.560280e+09 3.850654e+09
3.302926e-01 3.412421e+09 3.687755e+09
3.414157e-01 3.272145e+09 3.532663e+09
3.529135e-01 3.135837e+09 3.384196e+09
3.647984e-01 3.004433e+09 3.242527e+09
3.770836e-01 2.880707e+09 3.105588e+09
3.897825e-01 2.761206e+09 2.975294e+09
4.029091e-01 2.645834e+09 2.849647e+09
4.164778e-01 2.533544e+09 2.728281e+09
4.305033e-01 2.427446e+09 2.612185e+09
4.450013e-01 2.326248e+09 2.502431e+09
4.599874e-01 2.229519e+09 2.397333e+09
4.754783e-01 2.135788e+09 2.295302e+09
4.914908e-01 2.045877e+09 2.198454e+09
5.080426e-01 1.958693e+09 2.107760e+09
5.251518e-01 1.876466e+09 2.020000e+09
5.428371e-01 1.797501e+09 1.934188e+09
5.611181e-01 1.722086e+09 1.852549e+09
5.800147e-01 1.649746e+09 1.775336e+09
5.995476e-01 1.580089e+09 1.701347e+09
6.197384e-01 1.513588e+09 1.629618e+09
6.406091e-01 1.449859e+09 1.561015e+09
6.621827e-01 1.387990e+09 1.494503e+09
6.844828e-01 1.328827e+09 1.431023e+09
7.075339e-01 1.271574e+09 1.370868e+09
7.313613e-01 1.217278e+09 1.312850e+09
7.559911e-01 1.165244e+09 1.257051e+09
7.814504e-01 1.115040e+09 1.204308e+09
8.077670e-01 1.066663e+09 1.153168e+09
8.349699e-01 1.020892e+09 1.104209e+09
8.630889e-01 9.768924e+08 1.057314e+09
8.921549e-01 9.349799e+08 1.012545e+09
9.221997e-01 8.944770e+08 9.693092e+08
9.532563e-01 8.559550e+08 9.279066e+08
9.853588e-01 8.187892e+08 8.881634e+08
1.018542e+00 7.833096e+08 8.500730e+08
1.052844e+00 7.492429e+08 8.140402e+08
1.088300e+00 7.164057e+08 7.789666e+08
1.124950e+00 6.849761e+08 7.455607e+08
1.162835e+00 6.549460e+08 7.136183e+08
1.201995e+00 6.261403e+08 6.828975e+08
1.242474e+00 5.985043e+08 6.538504e+08
1.284317e+00 5.723543e+08 6.256841e+08
1.327568e+00 5.471351e+08 5.984600e+08
1.372276e+00 5.230663e+08 5.725529e+08
1.418490e+00 5.001839e+08 5.476697e+08
1.466260e+00 4.780043e+08 5.239913e+08
1.515639e+00 4.568184e+08 5.012848e+08
1.566680e+00 4.367648e+08 4.795967e+08
1.619441e+00 4.174648e+08 4.583495e+08
1.673978e+00 3.989815e+08 4.381695e+08
1.730352e+00 3.810787e+08 4.189240e+08
1.788625e+00 3.640044e+08 4.004945e+08
1.848860e+00 3.476185e+08 3.827919e+08
1.911123e+00 3.319441e+08 3.658505e+08
1.975484e+00 3.169632e+08 3.494261e+08
2.042011e+00 3.025697e+08 3.337627e+08
2.110780e+00 2.887004e+08 3.187528e+08
2.181864e+00 2.755666e+08 3.043097e+08
2.255341e+00 2.629738e+08 2.906064e+08
2.331294e+00 2.509675e+08 2.774128e+08
2.409804e+00 2.395515e+08 2.648233e+08
