# Energy(MeV) Fluence
5.000000e-02 3.944393e+10
5.168383e-02 3.783476e+10
5.342437e-02 3.628770e+10
5.522353e-02 3.479448e+10
5.708327e-02 3.336370e+10
5.900565e-02 3.197049e+10
6.099276e-02 3.065877e+10
6.304680e-02 2.937931e+10
6.517000e-02 2.816708e+10
6.736471e-02 2.700235e+10
6.963333e-02 2.588390e+10
7.197835e-02 2.480824e+10
7.440234e-02 2.378507e+10
7.690796e-02 2.279551e+10
7.949797e-02 2.184886e+10
8.217519e-02 2.094317e+10
8.494258e-02 2.008618e+10
8.780317e-02 1.925500e+10
9.076008e-02 1.846218e+10
9.381658e-02 1.769887e+10
9.697601e-02 1.697293e+10
1.002418e-01 1.627828e+10
1.036177e-01 1.560327e+10
1.071072e-01 1.496063e+10
1.107142e-01 1.434196e+10
1.144426e-01 1.374678e+10
1.182967e-01 1.317929e+10
1.222805e-01 1.263568e+10
1.263985e-01 1.211182e+10
1.306552e-01 1.160536e+10
1.350553e-01 1.112700e+10
1.396035e-01 1.067002e+10
1.443048e-01 1.022883e+10
1.491646e-01 9.805893e+09
1.541879e-01 9.401186e+09
1.593805e-01 9.010950e+09
1.647479e-01 8.635796e+09
1.702960e-01 8.275924e+09
1.760310e-01 7.935937e+09
1.819592e-01 7.606832e+09
1.880869e-01 7.291644e+09
1.944211e-01 6.992154e+09
2.009685e-01 6.702694e+09
2.077365e-01 6.428094e+09
2.147324e-01 6.163023e+09
2.219638e-01 5.907640e+09
2.294388e-01 5.663593e+09
2.371656e-01 5.429120e+09
2.451525e-01 5.203846e+09
2.534084e-01 4.985545e+09
2.619424e-01 4.778536e+09
2.707637e-01 4.579891e+09
2.798822e-01 4.388589e+09
2.893077e-01 4.204994e+09
2.990506e-01 4.030542e+09
3.091216e-01 3.860756e+09
3.195318e-01 3.699567e+09
3.302926e-01 3.545704e+09
3.414157e-01 3.397065e+09
3.529135e-01 3.254646e+09
3.647984e-01 3.118984e+09
3.770836e-01 2.988310e+09
3.897825e-01 2.862465e+09
4.029091e-01 2.741160e+09
4.164778e-01 2.627446e+09
4.305033e-01 2.516693e+09
4.450013e-01 2.411311e+09
4.599874e-01 2.309955e+09
4.754783e-01 2.213391e+09
4.914908e-01 2.120747e+09
5.080426e-01 2.031714e+09
5.251518e-01 1.947063e+09
5.428371e-01 1.865094e+09
5.611181e-01 1.786643e+09
5.800147e-01 1.712124e+09
5.995476e-01 1.639510e+09
6.197384e-01 1.570376e+09
6.406091e-01 1.503629e+09
6.621827e-01 1.439660e+09
6.844828e-01 1.378527e+09
7.075339e-01 1.319925e+09
7.313613e-01 1.263808e+09
7.559911e-01 1.209720e+09
7.814504e-01 1.158276e+09
8.077670e-01 1.108738e+09
8.349699e-01 1.061326e+09
8.630889e-01 1.016285e+09
8.921549e-01 9.726141e+08
9.221997e-01 9.310545e+08
9.532563e-01 8.909860e+08
9.853588e-01 8.528387e+08
1.018542e+00 8.161256e+08
1.052844e+00 7.808343e+08
1.088300e+00 7.471368e+08
1.124950e+00 7.149295e+08
1.162835e+00 6.838194e+08
1.201995e+00 6.543584e+08
1.242474e+00 6.259086e+08
1.284317e+00 5.984437e+08
1.327568e+00 5.722662e+08
1.372276e+00 5.473662e+08
1.418490e+00 5.235491e+08
1.466260e+00 5.005029e+08
1.515639e+00 4.783641e+08
1.566680e+00 4.573178e+08
1.619441e+00 4.372716e+08
1.673978e+00 4.178924e+08
1.730352e+00 3.993694e+08
1.788625e+00 3.816461e+08
1.848860e+00 3.647317e+08
1.911123e+00 3.485169e+08
1.975484e+00 3.329055e+08
2.042011e+00 3.181037e+08
2.110780e+00 3.037631e+08
2.181864e+00 2.900570e+08
2.255341e+00 2.770728e+08
2.331294e+00 2.645302e+08
2.409804e+00 2.523960e+08
2.490958e+00 2.407857e+08
2.574845e+00 2.297185e+08
2.661558e+00 2.191387e+08
2.751190e+00 2.090445e+08
2.843841e+00 1.993123e+08
2.939612e+00 1.900712e+08
3.038609e+00 1.812452e+08
3.140939e+00 1.727245e+08
3.246715e+00 1.645606e+08
3.356054e+00 1.568219e+08
3.469074e+00 1.493861e+08
3.585901e+00 1.422878e+08
3.706663e+00 1.354735e+08
3.831491e+00 1.289299e+08
3.960522e+00 1.226502e+08
4.093900e+00 1.166722e+08
4.231769e+00 1.109319e+08
4.374280e+00 1.054970e+08
4.521592e+00 1.002703e+08
4.673864e+00 9.523734e+07
4.831264e+00 9.044892e+07
4.993965e+00 8.591250e+07
5.162145e+00 8.157972e+07
5.335989e+00 7.737685e+07
5.515687e+00 7.340577e+07
5.701437e+00 6.960640e+07
5.893443e+00 6.594850e+07
6.091914e+00 6.245031e+07
6.297070e+00 5.915474e+07
6.509134e+00 5.598954e+07
6.728340e+00 5.297054e+07
6.954928e+00 5.009457e+07
7.189147e+00 4.735282e+07
7.431253e+00 4.476417e+07
7.681513e+00 4.228401e+07
7.940201e+00 3.991930e+07
8.207601e+00 3.765848e+07
8.484005e+00 3.548617e+07
8.769719e+00 3.343426e+07
9.065053e+00 3.149360e+07
9.370334e+00 2.965988e+07
9.685896e+00 2.790624e+07
1.001208e+01 2.624630e+07
1.034926e+01 2.466110e+07
1.069779e+01 2.316465e+07
1.105805e+01 2.174002e+07
1.143045e+01 2.037689e+07
1.181539e+01 1.908193e+07
1.221329e+01 1.786974e+07
1.262460e+01 1.673198e+07
1.304975e+01 1.564704e+07
1.348922e+01 1.461493e+07
1.394350e+01 1.362886e+07
1.441307e+01 1.270377e+07
1.489845e+01 1.183783e+07
1.540018e+01 1.101671e+07
1.591881e+01 1.024773e+07
1.645490e+01 9.516246e+06
1.700905e+01 8.836209e+06
1.758185e+01 8.188959e+06
1.817395e+01 7.582237e+06
1.878599e+01 7.012705e+06
1.941864e+01 6.489144e+06
2.007260e+01 5.987802e+06
2.074857e+01 5.511853e+06
2.144732e+01 5.072352e+06
2.216959e+01 4.657090e+06
2.291619e+01 4.276943e+06
2.368793e+01 3.925105e+06
2.448566e+01 3.594064e+06
2.531026e+01 3.291610e+06
2.616262e+01 3.009120e+06
2.704369e+01 2.747540e+06
2.795443e+01 2.506753e+06
2.889585e+01 2.286840e+06
2.986896e+01 2.086467e+06
3.087485e+01 1.904507e+06
3.191461e+01 1.736043e+06
3.298939e+01 1.582149e+06
3.410036e+01 1.441569e+06
3.524875e+01 1.314429e+06
3.643581e+01 1.197898e+06
3.766285e+01 1.091756e+06
3.893121e+01 9.939511e+05
4.024228e+01 9.058837e+05
4.159751e+01 8.245887e+05
4.299837e+01 7.506785e+05
4.444641e+01 6.824794e+05
4.594322e+01 6.211718e+05
4.749044e+01 5.652984e+05
4.908976e+01 5.135809e+05
5.074294e+01 4.668484e+05
5.245179e+01 4.240203e+05
5.421819e+01 3.852689e+05
5.604408e+01 3.500703e+05
5.793146e+01 3.178161e+05
5.988240e+01 2.886851e+05
6.189904e+01 2.618413e+05
6.398359e+01 2.375992e+05
6.613834e+01 2.154686e+05
6.836566e+01 1.953473e+05
7.066799e+01 1.769558e+05
7.304785e+01 1.602656e+05
7.550786e+01 1.451312e+05
7.805072e+01 1.313356e+05
8.067920e+01 1.188318e+05
8.339621e+01 1.074398e+05
8.620472e+01 9.702325e+04
8.910781e+01 8.764407e+04
9.210866e+01 7.906299e+04
9.521057e+01 7.135362e+04
9.841695e+01 6.429278e+04
1.017313e+02 5.797458e+04
1.051573e+02 5.220157e+04
1.086986e+02 4.701388e+04
1.123592e+02 4.230365e+04
1.161431e+02 3.801544e+04
1.200544e+02 3.415998e+04
1.240975e+02 3.067577e+04
1.282767e+02 2.753296e+04
1.325966e+02 2.470108e+04
1.370620e+02 2.212720e+04
1.416778e+02 1.980642e+04
1.464490e+02 1.770925e+04
1.513809e+02 1.582350e+04
1.564789e+02 1.413371e+04
1.617486e+02 1.260718e+04
1.671958e+02 1.123834e+04
1.728264e+02 1.000822e+04
1.786466e+02 8.906782e+03
1.846628e+02 7.917555e+03
1.908817e+02 7.028687e+03
1.973099e+02 6.234805e+03
2.039547e+02 5.524445e+03
2.108232e+02 4.889680e+03
2.179230e+02 4.322291e+03
2.252619e+02 3.813418e+03
2.328480e+02 3.360653e+03
2.406895e+02 2.960337e+03
2.487952e+02 2.602341e+03
2.571738e+02 2.287506e+03
2.658345e+02 2.007117e+03
2.747869e+02 1.759494e+03
2.840408e+02 1.538954e+03
2.936064e+02 1.343390e+03
3.034941e+02 1.169447e+03
3.137148e+02 1.018258e+03
3.242796e+02 8.845170e+02
3.352003e+02 7.669454e+02
3.464887e+02 6.641025e+02
3.581573e+02 5.740119e+02
3.702189e+02 4.960799e+02
3.826866e+02 4.275823e+02
3.955742e+02 3.677041e+02
4.088958e+02 3.155915e+02
4.226661e+02 2.706086e+02
4.369001e+02 2.315673e+02
4.516134e+02 1.976254e+02
4.668222e+02 1.679572e+02
4.825433e+02 1.425785e+02
4.987937e+02 1.207581e+02
5.155914e+02 1.020212e+02
5.329548e+02 8.595947e+01
5.509030e+02 7.221787e+01
5.694556e+02 6.046533e+01
5.886329e+02 5.047291e+01
6.084561e+02 4.208696e+01
6.289469e+02 3.491277e+01
6.501277e+02 2.890521e+01
6.720219e+02 2.384631e+01
6.946533e+02 1.958954e+01
7.180470e+02 1.600094e+01
7.422284e+02 1.300952e+01
7.672242e+02 1.052077e+01
7.930617e+02 8.487645e+00
8.197694e+02 6.812631e+00
8.473765e+02 5.437416e+00
8.759133e+02 4.334136e+00
9.054112e+02 3.437970e+00
9.359024e+02 2.704988e+00
9.674205e+02 2.122185e+00
1.000000e+03 1.657810e+00
