# Energy(MeV) Fluence_16th Fluence_84th
5.000000e-02 6.651824e+11 1.007149e+12
5.168383e-02 6.429408e+11 9.667773e+11
5.342437e-02 6.226625e+11 9.286991e+11
5.522353e-02 6.015253e+11 8.917693e+11
5.708327e-02 5.810164e+11 8.571903e+11
5.900565e-02 5.621790e+11 8.229668e+11
6.099276e-02 5.442898e+11 7.909791e+11
6.304680e-02 5.254989e+11 7.601684e+11
6.517000e-02 5.073569e+11 7.310403e+11
6.736471e-02 4.904100e+11 7.025806e+11
6.963333e-02 4.725632e+11 6.760773e+11
7.197835e-02 4.551163e+11 6.497261e+11
7.440234e-02 4.396483e+11 6.245834e+11
7.690796e-02 4.243144e+11 6.000743e+11
7.949797e-02 4.092943e+11 5.769879e+11
8.217519e-02 3.946374e+11 5.552263e+11
8.494258e-02 3.805633e+11 5.340991e+11
8.780317e-02 3.680625e+11 5.123588e+11
9.076008e-02 3.552449e+11 4.930768e+11
9.381658e-02 3.418026e+11 4.740330e+11
9.697601e-02 3.286882e+11 4.562103e+11
1.002418e-01 3.171084e+11 4.389115e+11
1.036177e-01 3.057563e+11 4.211927e+11
1.071072e-01 2.931663e+11 4.053787e+11
1.107142e-01 2.836264e+11 3.893700e+11
1.144426e-01 2.732515e+11 3.735772e+11
1.182967e-01 2.636173e+11 3.588539e+11
1.222805e-01 2.532727e+11 3.451005e+11
1.263985e-01 2.438046e+11 3.314307e+11
1.306552e-01 2.348901e+11 3.186372e+11
1.350553e-01 2.254660e+11 3.059865e+11
1.396035e-01 2.162558e+11 2.934184e+11
1.443048e-01 2.076773e+11 2.813567e+11
1.491646e-01 1.992201e+11 2.692983e+11
1.541879e-01 1.915614e+11 2.582378e+11
1.593805e-01 1.838849e+11 2.476937e+11
1.647479e-01 1.769785e+11 2.377964e+11
1.702960e-01 1.696903e+11 2.281109e+11
1.760310e-01 1.629735e+11 2.190915e+11
1.819592e-01 1.559149e+11 2.102975e+11
1.880869e-01 1.498876e+11 2.019201e+11
1.944211e-01 1.436596e+11 1.936796e+11
2.009685e-01 1.377792e+11 1.858932e+11
2.077365e-01 1.317453e+11 1.782034e+11
2.147324e-01 1.261208e+11 1.710247e+11
2.219638e-01 1.210644e+11 1.639460e+11
2.294388e-01 1.159127e+11 1.568921e+11
2.371656e-01 1.108845e+11 1.503231e+11
2.451525e-01 1.058835e+11 1.439163e+11
2.534084e-01 1.011193e+11 1.377316e+11
2.619424e-01 9.667835e+10 1.317913e+11
2.707637e-01 9.211427e+10 1.261821e+11
2.798822e-01 8.775664e+10 1.206542e+11
2.893077e-01 8.369478e+10 1.153453e+11
2.990506e-01 7.967169e+10 1.104117e+11
3.091216e-01 7.585923e+10 1.055990e+11
3.195318e-01 7.221430e+10 1.009251e+11
3.302926e-01 6.889722e+10 9.650620e+10
3.414157e-01 6.560024e+10 9.219311e+10
3.529135e-01 6.238984e+10 8.813290e+10
3.647984e-01 5.941371e+10 8.416146e+10
3.770836e-01 5.660094e+10 8.035844e+10
3.897825e-01 5.394597e+10 7.670641e+10
4.029091e-01 5.123264e+10 7.318364e+10
4.164778e-01 4.871433e+10 6.970247e+10
4.305033e-01 4.618869e+10 6.641946e+10
4.450013e-01 4.391656e+10 6.331362e+10
4.599874e-01 4.163661e+10 6.022938e+10
4.754783e-01 3.958880e+10 5.730699e+10
4.914908e-01 3.758543e+10 5.454577e+10
5.080426e-01 3.567914e+10 5.183996e+10
5.251518e-01 3.385609e+10 4.926340e+10
5.428371e-01 3.212201e+10 4.675365e+10
5.611181e-01 3.036577e+10 4.440171e+10
5.800147e-01 2.863436e+10 4.207127e+10
5.995476e-01 2.713258e+10 3.990383e+10
6.197384e-01 2.559651e+10 3.782977e+10
6.406091e-01 2.424735e+10 3.582430e+10
6.621827e-01 2.274351e+10 3.387837e+10
6.844828e-01 2.145214e+10 3.198607e+10
7.075339e-01 2.027654e+10 3.020609e+10
7.313613e-01 1.907671e+10 2.857029e+10
7.559911e-01 1.779258e+10 2.697345e+10
7.814504e-01 1.663102e+10 2.543018e+10
8.077670e-01 1.556204e+10 2.398807e+10
8.349699e-01 1.457861e+10 2.260088e+10
8.630889e-01 1.362247e+10 2.126520e+10
8.921549e-01 1.277812e+10 1.998444e+10
9.221997e-01 1.195612e+10 1.878790e+10
9.532563e-01 1.111493e+10 1.763242e+10
9.853588e-01 1.031760e+10 1.653627e+10
1.018542e+00 9.648950e+09 1.555200e+10
1.052844e+00 9.011108e+09 1.457539e+10
1.088300e+00 8.267299e+09 1.363246e+10
1.124950e+00 7.673290e+09 1.274333e+10
1.162835e+00 7.098248e+09 1.190542e+10
1.201995e+00 6.539867e+09 1.109637e+10
1.242474e+00 6.073149e+09 1.033381e+10
1.284317e+00 5.609339e+09 9.634126e+09
1.327568e+00 5.217773e+09 8.959329e+09
1.372276e+00 4.835668e+09 8.331532e+09
1.418490e+00 4.453553e+09 7.725534e+09
1.466260e+00 4.127213e+09 7.169962e+09
1.515639e+00 3.824944e+09 6.638064e+09
1.566680e+00 3.510663e+09 6.133423e+09
1.619441e+00 3.229279e+09 5.666307e+09
1.673978e+00 2.966922e+09 5.224458e+09
1.730352e+00 2.745036e+09 4.810066e+09
1.788625e+00 2.516599e+09 4.422375e+09
1.848860e+00 2.327633e+09 4.061572e+09
1.911123e+00 2.142564e+09 3.725729e+09
1.975484e+00 1.972247e+09 3.418059e+09
2.042011e+00 1.815978e+09 3.132632e+09
2.110780e+00 1.669146e+09 2.867466e+09
2.181864e+00 1.534613e+09 2.624609e+09
