Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.8771e+04
1.5000e-03	0.0000e+00	3.8794e+04
2.0000e-03	0.0000e+00	3.8808e+04
2.5000e-03	0.0000e+00	3.8814e+04
3.0000e-03	0.0000e+00	3.8819e+04
3.5000e-03	0.0000e+00	3.8822e+04
4.0000e-03	0.0000e+00	3.8826e+04
4.5000e-03	0.0000e+00	3.8829e+04
5.0000e-03	0.0000e+00	3.8831e+04
5.5000e-03	0.0000e+00	3.8834e+04
6.0000e-03	0.0000e+00	3.8836e+04
6.5000e-03	0.0000e+00	3.8838e+04
7.0000e-03	0.0000e+00	3.8840e+04
7.5000e-03	0.0000e+00	3.8842e+04
8.0000e-03	0.0000e+00	3.8843e+04
8.5000e-03	0.0000e+00	3.8845e+04
9.0000e-03	0.0000e+00	3.8846e+04
9.5000e-03	0.0000e+00	3.8848e+04
1.0000e-02	0.0000e+00	3.8849e+04
1.5000e-02	0.0000e+00	3.8859e+04
2.0000e-02	0.0000e+00	3.8867e+04
2.5000e-02	0.0000e+00	3.8872e+04
3.0000e-02	0.0000e+00	3.8877e+04
3.5000e-02	0.0000e+00	3.8881e+04
4.0000e-02	0.0000e+00	3.8884e+04
4.5000e-02	0.0000e+00	3.8887e+04
5.0000e-02	0.0000e+00	3.8890e+04
5.5000e-02	0.0000e+00	3.8892e+04
6.0000e-02	0.0000e+00	3.8894e+04
6.5000e-02	0.0000e+00	3.8897e+04
7.0000e-02	0.0000e+00	3.8903e+04
7.5000e-02	0.0000e+00	3.8912e+04
8.0000e-02	0.0000e+00	3.8921e+04
8.5000e-02	0.0000e+00	3.8929e+04
9.0000e-02	0.0000e+00	3.8937e+04
9.5000e-02	0.0000e+00	3.8945e+04
1.0000e-01	0.0000e+00	3.8951e+04
1.5000e-01	0.0000e+00	3.9019e+04
2.0000e-01	0.0000e+00	3.9087e+04
2.5000e-01	0.0000e+00	3.9160e+04
3.0000e-01	0.0000e+00	3.9232e+04
3.5000e-01	0.0000e+00	3.9302e+04
4.0000e-01	0.0000e+00	3.9369e+04
4.5000e-01	0.0000e+00	3.9432e+04
5.0000e-01	0.0000e+00	3.9494e+04
5.5000e-01	0.0000e+00	3.9556e+04
6.0000e-01	0.0000e+00	3.9618e+04
6.5000e-01	0.0000e+00	3.9681e+04
7.0000e-01	0.0000e+00	3.9744e+04
7.5000e-01	0.0000e+00	3.9807e+04
8.0000e-01	0.0000e+00	3.9869e+04
8.5000e-01	0.0000e+00	3.9931e+04
9.0000e-01	0.0000e+00	3.9994e+04
9.5000e-01	0.0000e+00	4.0056e+04
1.0000e+00	0.0000e+00	4.0118e+04
1.5000e+00	0.0000e+00	4.0730e+04
2.0000e+00	0.0000e+00	4.1334e+04
2.5000e+00	0.0000e+00	4.1930e+04
3.0000e+00	0.0000e+00	4.2517e+04
3.5000e+00	0.0000e+00	4.3097e+04
4.0000e+00	0.0000e+00	4.3676e+04
4.5000e+00	0.0000e+00	4.4242e+04
5.0000e+00	0.0000e+00	4.4795e+04
5.5000e+00	0.0000e+00	4.5338e+04
6.0000e+00	3.2789e+08	4.5868e+04
1.1619e+01	9.8636e+07	5.0956e+04
2.4495e+01	4.1169e+07	5.5531e+04
5.6569e+01	5.0290e+06	4.1904e+04
1.1489e+02	7.6107e+04	2.7444e+04
2.8723e+02	8.4683e+03	4.5614e+03
3.8341e+02	1.4196e+03	1.0025e+03
4.6282e+02	5.2972e+02	4.0335e+02
5.9750e+02	1.3344e+02	1.1026e+02
